Date,O2,N2,CO,CO2
2023-04-23 01:37,14.4200,85.2279,0.0021,0.3500
2023-04-23 01:42,13.8400,85.6570,0.0030,0.5000
2023-04-23 09:55,18.7200,81.0282,0.0018,0.2500
2023-04-23 10:00,13.6400,85.9281,0.0019,0.4300
2023-04-23 10:05,13.6000,85.9569,0.0031,0.4400
2023-04-23 17:55,18.7200,81.0389,0.0011,0.2400
2023-04-23 18:00,14.0300,85.6081,0.0019,0.3600
2023-04-23 18:05,14.0500,85.4570,0.0030,0.4900
2023-04-24 01:35,19.1500,80.5885,0.0015,0.2600
2023-04-24 01:40,14.6400,84.9177,0.0023,0.4400
2023-04-24 01:45,13.1400,86.4173,0.0027,0.4400
2023-04-24 13:55,19.0900,80.6982,0.0018,0.2100
2023-04-24 14:00,14.5200,85.3356,0.0024,0.4200
2023-04-24 14:05,13.8400,85.7574,0.0026,0.4000
2023-04-24 17:52,18.7000,80.9783,0.0017,0.3200
2023-04-24 17:57,13.5900,86.0476,0.0024,0.3600
2023-04-24 18:02,13.5400,85.9671,0.0029,0.4900
2023-04-25 00:26,18.7100,80.9986,0.0014,0.2900
2023-04-25 00:31,13.6100,85.9278,0.0022,0.4600
2023-04-25 00:36,13.5600,85.9675,0.0025,0.4700
2023-04-25 09:14,18.8500,80.8683,0.0017,0.2800
2023-04-25 09:19,13.5100,86.1180,0.0020,0.3700
2023-04-25 09:24,13.9400,85.5970,0.0030,0.4600
2023-04-25 18:57,18.6700,81.0083,0.0017,0.3200
2023-04-25 19:02,13.9200,85.6578,0.0022,0.4200
2023-04-25 19:07,13.9200,85.6475,0.0025,0.4300
2023-04-26 01:26,19.0700,80.6486,0.0014,0.2800
2023-04-26 01:31,14.4600,85.0877,0.0023,0.4500
2023-04-26 01:36,12.9400,86.6075,0.0025,0.4500
2023-04-26 09:03,18.9600,80.7983,0.0017,0.2400
2023-04-26 09:08,13.7700,85.7581,0.0019,0.4700
2023-04-26 09:13,12.6300,86.9370,0.0030,0.4300
2023-04-26 18:04,19.0300,80.7486,0.0014,0.2200
2023-04-26 18:09,13.9200,85.6277,0.0023,0.4500
2023-04-26 18:14,12.8100,86.7775,0.0025,0.4100
2023-04-27 00:19,18.8600,80.8386,0.0014,0.3000
2023-04-27 00:24,13.9500,85.5777,0.0023,0.4700
2023-04-27 00:29,13.9600,85.5674,0.0026,0.4700
2023-04-27 08:14,18.9300,80.7287,0.0013,0.3400
2023-04-27 08:19,13.6900,85.8877,0.0023,0.4200
2023-04-27 08:24,13.0200,86.5266,0.0034,0.4500
2023-04-27 18:01,18.8700,80.8281,0.0019,0.3000
2023-04-27 18:06,13.5600,86.0579,0.0021,0.3800
2023-04-27 18:11,12.8700,86.7171,0.0029,0.4100
2023-04-28 00:32,18.6000,81.0986,0.0014,0.3000
2023-04-28 00:37,14.3400,85.2677,0.0023,0.3900
2023-04-28 00:42,13.2800,86.2475,0.0025,0.4700
2023-04-28 09:11,18.9700,80.8086,0.0014,0.2200
2023-04-28 09:16,13.7900,85.7576,0.0024,0.4500
2023-04-28 09:21,12.6600,86.9274,0.0026,0.4100
2023-04-28 18:36,18.7300,80.9585,0.0015,0.3100
2023-04-28 18:41,14.0700,85.5079,0.0021,0.4200
2023-04-28 18:46,14.0900,85.4863,0.0037,0.4200
2023-04-29 01:22,19.0400,80.6890,0.0010,0.2700
