date,HUFL,HULL,MUFL,MULL
2016/7/1 0:00,14.42,85.2279,0.0021,0.35
2016/7/1 1:00,13.84,85.657,0.003,0.5
2016/7/1 2:00,18.72,81.0282,0.0018,0.25
2016/7/1 3:00,13.64,85.9281,0.0019,0.43
2016/7/1 4:00,13.6,85.9569,0.0031,0.44
2016/7/1 5:00,18.72,81.0389,0.0011,0.24
2016/7/1 6:00,14.03,85.6081,0.0019,0.36
2016/7/1 7:00,14.05,85.457,0.003,0.49
2016/7/1 8:00,19.15,80.5885,0.0015,0.26
2016/7/1 9:00,14.64,84.9177,0.0023,0.44
2016/7/1 10:00,13.14,86.4173,0.0027,0.44
2016/7/1 11:00,19.09,80.6982,0.0018,0.21
2016/7/1 12:00,14.52,85.3356,0.0024,0.42
2016/7/1 13:00,13.84,85.7574,0.0026,0.4
2016/7/1 14:00,18.7,80.9783,0.0017,0.32
2016/7/1 15:00,13.59,86.0476,0.0024,0.36
2016/7/1 16:00,13.54,85.9671,0.0029,0.49
2016/7/1 17:00,18.71,80.9986,0.0014,0.29
2016/7/1 18:00,13.61,85.9278,0.0022,0.46
2016/7/1 19:00,13.56,85.9675,0.0025,0.47
2016/7/1 20:00,18.85,80.8683,0.0017,0.28
2016/7/1 21:00,13.51,86.118,0.002,0.37
2016/7/1 22:00,13.94,85.597,0.003,0.46
2016/7/1 23:00,18.67,81.0083,0.0017,0.32
2016/7/2 0:00,13.92,85.6578,0.0022,0.42
2016/7/2 1:00,13.92,85.6475,0.0025,0.43
2016/7/2 2:00,19.07,80.6486,0.0014,0.28
2016/7/2 3:00,14.46,85.0877,0.0023,0.45
2016/7/2 4:00,12.94,86.6075,0.0025,0.45
2016/7/2 5:00,18.96,80.7983,0.0017,0.24
2016/7/2 6:00,13.77,85.7581,0.0019,0.47
2016/7/2 7:00,12.63,86.937,0.003,0.43
2016/7/2 8:00,19.03,80.7486,0.0014,0.22
2016/7/2 9:00,13.92,85.6277,0.0023,0.45
2016/7/2 10:00,12.81,86.7775,0.0025,0.41
2016/7/2 11:00,18.86,80.8386,0.0014,0.3
2016/7/2 12:00,13.95,85.5777,0.0023,0.47
2016/7/2 13:00,13.96,85.5674,0.0026,0.47
2016/7/2 14:00,18.93,80.7287,0.0013,0.34
2016/7/2 15:00,13.69,85.8877,0.0023,0.42
2016/7/2 16:00,13.02,86.5266,0.0034,0.45
2016/7/2 17:00,18.87,80.8281,0.0019,0.3
2016/7/2 18:00,13.56,86.0579,0.0021,0.38
2016/7/2 19:00,12.87,86.7171,0.0029,0.41
2016/7/2 20:00,18.6,81.0986,0.0014,0.3
2016/7/2 21:00,14.34,85.2677,0.0023,0.39
2016/7/2 22:00,13.28,86.2475,0.0025,0.47
2016/7/2 23:00,18.97,80.8086,0.0014,0.22
2016/7/3 0:00,13.79,85.7576,0.0024,0.45
2016/7/3 1:00,12.66,86.9274,0.0026,0.41
2016/7/3 2:00,18.73,80.9585,0.0015,0.31
2016/7/3 3:00,14.07,85.5079,0.0021,0.42
2016/7/3 4:00,14.09,85.4863,0.0037,0.42
2016/7/3 5:00,19.04,80.689,0.001,0.27
2016/7/3 6:00,14.38,85.178,0.002,0.44
2016/7/3 7:00,13.8,85.7273,0.0027,0.47
2016/7/3 8:00,18.8,80.8881,0.0019,0.31
2016/7/3 9:00,14.8,84.808,0.002,0.39
2016/7/3 10:00,13.81,85.7068,0.0032,0.48
2016/7/3 11:00,18.87,80.8084,0.0016,0.32
2016/7/3 12:00,13.99,85.6576,0.0024,0.35
2016/7/3 13:00,14,85.5171,0.0029,0.48
2016/7/3 14:00,13.69,85.8074,0.0026,0.5
2016/7/3 15:00,18.79,80.9685,0.0015,0.24
2016/7/3 16:00,13.81,85.7677,0.0023,0.42
2016/7/3 17:00,18.64,81.0381,0.0019,0.32
2016/7/3 18:00,14.43,85.1679,0.0021,0.4
2016/7/3 19:00,13.86,85.7072,0.0028,0.43
2016/7/3 20:00,18.98,80.6887,0.0013,0.33
2016/7/3 21:00,14.65,84.918,0.002,0.43
2016/7/3 22:00,13.15,86.4166,0.0034,0.43
2016/7/3 23:00,18.89,80.8283,0.0017,0.28
2016/7/4 0:00,14.43,85.1778,0.0022,0.39
2016/7/4 1:00,13.39,86.1264,0.0036,0.48
2016/7/4 2:00,18.64,81.0487,0.0013,0.31
2016/7/4 3:00,13.87,85.718,0.002,0.41
2016/7/4 4:00,13.86,85.7166,0.0034,0.42
